Fecha;IP;Status;Position
2021-02-03 07:51:23;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:50:42;192.168.150.237:1813;activated;globallist
2021-02-03 07:50:42;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:50:42;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:50:21;192.168.150.237:1813;activated;globallist
2021-02-03 07:50:21;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:50:21;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:49:57;192.168.150.237:1813;activated;globallist
2021-02-03 07:49:57;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:49:57;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:49:39;192.168.150.237:1813;activated;globallist
2021-02-03 07:49:39;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:49:39;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:49:14;192.168.150.237:1813;activated;globallist
2021-02-03 07:49:14;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:49:14;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:48:59;192.168.150.237:1813;activated;globallist
2021-02-03 07:48:59;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:48:59;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:48:35;192.168.150.237:1813;activated;globallist
2021-02-03 07:48:35;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:48:35;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:48:17;192.168.150.237:1813;activated;globallist
2021-02-03 07:48:17;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:48:17;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:48:04;192.168.150.237:1813;activated;globallist
2021-02-03 07:48:04;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:48:04;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:47:44;192.168.150.237:1813;activated;globallist
2021-02-03 07:47:44;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:47:44;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:47:31;192.168.150.237:1813;activated;globallist
2021-02-03 07:47:31;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:47:31;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:47:24;192.168.150.237:1813;activated;globallist
2021-02-03 07:47:24;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:47:24;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:47:15;192.168.150.237:1813;activated;globallist
2021-02-03 07:47:15;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:47:15;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:46:57;192.168.150.237:1813;activated;globallist
2021-02-03 07:46:57;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:46:57;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:46:24;192.168.150.237:1813;activated;globallist
2021-02-03 07:46:24;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:46:24;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:45:47;192.168.150.237:1813;activated;globallist
2021-02-03 07:45:47;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:45:47;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:45:34;192.168.150.237:1813;activated;globallist
2021-02-03 07:45:34;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:45:34;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:45:02;192.168.150.237:1813;activated;globallist
2021-02-03 07:45:02;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:45:02;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:44:47;192.168.150.237:1813;activated;globallist
2021-02-03 07:44:47;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:44:47;192.168.150.238:1813;deactivated;globallist
2021-02-03 07:44:27;192.168.150.237:1813;activated;globallist
2021-02-03 07:44:27;192.168.150.238:1813;deactivated;globallist
