Fecha;APBaseRadioMAC;IPAddress;MACAddress
2021-04-15 07:59:14;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 07:59:05;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 07:59:01;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 07:59:00;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 07:58:43;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 07:58:35;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 07:58:31;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 07:58:30;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 07:58:13;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 07:58:05;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 07:58:01;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 07:57:59;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 07:57:43;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 07:57:35;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 07:57:31;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 07:57:29;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 07:57:12;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 07:57:05;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 07:57:00;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 07:56:59;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 07:56:42;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 07:56:35;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-15 07:56:30;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-15 07:56:29;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-15 07:56:12;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-15 07:56:05;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:51:30;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:51:19;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:51:14;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:51:13;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:51:00;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:50:49;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:50:44;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:50:43;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:50:30;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:50:19;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:50:14;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
2021-04-16 07:50:13;58:97:bd:d6:45:60;192.168.120.59;5c:83:8f:45:19:64
2021-04-16 07:50:00;5c:83:8f:45:19:64;192.168.120.59;58:97:bd:d6:45:60
2021-04-16 07:49:49;18:8b:9d:dc:de:c4;192.168.120.224;18:8b:9d:bc:b0:3c
2021-04-16 07:49:44;18:8b:9d:bc:b0:3c;192.168.120.224;18:8b:9d:dc:de:c4
