Fecha;IPAddress
2021-02-04 07:25:41;192.168.113.145
2021-02-05 07:56:13;192.168.113.141
2021-02-05 07:56:12;192.168.113.141
2021-02-05 07:56:12;192.168.113.141
2021-02-05 07:56:11;192.168.113.141
2021-02-05 07:55:47;192.168.113.145
2021-02-05 07:55:46;192.168.113.145
2021-02-05 07:51:13;192.168.113.141
2021-02-05 07:51:12;192.168.113.141
2021-02-05 07:51:12;192.168.113.141
2021-02-05 07:51:11;192.168.113.141
2021-02-05 07:50:46;192.168.113.145
2021-02-05 07:50:46;192.168.113.145
2021-02-05 07:46:12;192.168.113.141
2021-02-05 07:46:12;192.168.113.141
2021-02-05 07:46:11;192.168.113.141
2021-02-05 07:46:11;192.168.113.141
2021-02-05 07:45:46;192.168.113.145
2021-02-05 07:45:45;192.168.113.145
2021-02-05 07:41:12;192.168.113.141
2021-02-05 07:41:12;192.168.113.141
2021-02-05 07:41:11;192.168.113.141
2021-02-05 07:41:11;192.168.113.141
2021-02-05 07:40:46;192.168.113.145
2021-02-05 07:40:46;192.168.113.145
2021-02-08 07:51:25;192.168.113.141
2021-02-08 07:51:24;192.168.113.141
2021-02-08 07:51:24;192.168.113.141
2021-02-08 07:51:23;192.168.113.141
2021-02-08 07:50:59;192.168.113.145
2021-02-08 07:50:58;192.168.113.145
2021-02-08 07:46:25;192.168.113.141
2021-02-08 07:46:24;192.168.113.141
2021-02-08 07:46:24;192.168.113.141
2021-02-08 07:46:23;192.168.113.141
2021-02-08 07:45:59;192.168.113.145
2021-02-08 07:45:58;192.168.113.145
2021-02-08 07:41:24;192.168.113.141
2021-02-08 07:41:24;192.168.113.141
2021-02-08 07:41:23;192.168.113.141
2021-02-08 07:41:23;192.168.113.141
2021-02-08 07:40:58;192.168.113.145
2021-02-08 07:40:58;192.168.113.145
2021-02-08 07:36:24;192.168.113.141
2021-02-08 07:36:24;192.168.113.141
2021-02-08 07:36:23;192.168.113.141
2021-02-08 07:36:23;192.168.113.141
2021-02-08 07:35:58;192.168.113.145
2021-02-08 07:35:58;192.168.113.145
2021-02-09 07:41:29;192.168.113.141
2021-02-09 07:41:28;192.168.113.141
2021-02-09 07:41:28;192.168.113.141
2021-02-09 07:41:27;192.168.113.141
2021-02-09 07:41:02;192.168.113.145
2021-02-09 07:41:02;192.168.113.145
2021-02-09 07:36:29;192.168.113.141
2021-02-09 07:36:29;192.168.113.141
2021-02-09 07:36:28;192.168.113.141
2021-02-09 07:36:28;192.168.113.141
2021-02-09 07:36:03;192.168.113.145
2021-02-09 07:36:02;192.168.113.145
2021-02-09 07:31:28;192.168.113.141
2021-02-09 07:31:28;192.168.113.141
2021-02-09 07:31:27;192.168.113.141
2021-02-09 07:31:27;192.168.113.141
2021-02-09 07:31:03;192.168.113.145
2021-02-09 07:31:02;192.168.113.145
2021-02-17 07:52:01;192.168.113.141
2021-02-17 07:52:00;192.168.113.141
2021-02-17 07:52:00;192.168.113.141
2021-02-17 07:51:59;192.168.113.141
2021-02-17 07:51:36;192.168.113.145
2021-02-17 07:51:35;192.168.113.145
2021-02-17 07:47:01;192.168.113.141
2021-02-17 07:47:01;192.168.113.141
2021-02-17 07:47:00;192.168.113.141
2021-02-17 07:47:00;192.168.113.141
2021-02-17 07:46:36;192.168.113.145
2021-02-17 07:46:35;192.168.113.145
2021-02-17 07:42:01;192.168.113.141
2021-02-17 07:42:01;192.168.113.141
2021-02-17 07:42:00;192.168.113.141
2021-02-17 07:42:00;192.168.113.141
2021-02-17 07:41:35;192.168.113.145
2021-02-17 07:41:34;192.168.113.145
2021-02-17 07:37:02;192.168.113.141
2021-02-17 07:37:01;192.168.113.141
2021-02-17 07:37:01;192.168.113.141
2021-02-17 07:37:00;192.168.113.141
2021-02-17 07:36:35;192.168.113.145
2021-02-17 07:36:35;192.168.113.145
2021-02-18 07:42:05;192.168.113.141
2021-02-18 07:42:05;192.168.113.141
2021-02-18 07:42:04;192.168.113.141
2021-02-18 07:42:04;192.168.113.141
2021-02-18 07:41:39;192.168.113.145
2021-02-18 07:41:39;192.168.113.145
2021-02-18 07:37:06;192.168.113.141
2021-02-18 07:37:05;192.168.113.141
2021-02-18 07:37:05;192.168.113.141
2021-02-18 07:37:04;192.168.113.141
2021-02-18 07:36:39;192.168.113.145
2021-02-18 07:36:38;192.168.113.145
2021-02-18 07:32:05;192.168.113.141
2021-02-18 07:32:04;192.168.113.141
2021-02-18 07:32:04;192.168.113.141
2021-02-18 07:32:03;192.168.113.141
2021-02-18 07:31:39;192.168.113.145
2021-02-18 07:31:39;192.168.113.145
2021-02-18 07:27:05;192.168.113.141
2021-02-18 07:27:05;192.168.113.141
2021-02-18 07:27:04;192.168.113.141
2021-02-18 07:27:04;192.168.113.141
2021-02-18 07:26:39;192.168.113.145
2021-02-18 07:26:39;192.168.113.145
2021-02-18 07:22:05;192.168.113.141
2021-02-18 07:22:05;192.168.113.141
2021-02-18 07:22:04;192.168.113.141
2021-02-18 07:22:04;192.168.113.141
2021-02-18 07:21:39;192.168.113.145
2021-02-18 07:21:39;192.168.113.145
2021-02-18 07:17:05;192.168.113.141
2021-02-18 07:17:05;192.168.113.141
2021-02-18 07:17:04;192.168.113.141
2021-02-18 07:17:04;192.168.113.141
2021-02-18 07:16:39;192.168.113.145
2021-02-18 07:16:39;192.168.113.145
2021-02-19 07:42:09;192.168.113.141
2021-02-19 07:42:09;192.168.113.141
2021-02-19 07:42:08;192.168.113.141
2021-02-19 07:42:08;192.168.113.141
